epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.3389,4.86194,5.48262,3.45598,0.15451,0.08872,0.08654,0.03286,3.6456,3.00343,2.63724,0.00331034,0.00331034,0.00331034
2,73.5461,2.46015,2.95144,1.78372,0.35246,0.26496,0.26296,0.11473,2.06676,2.10022,1.50423,0.00661079,0.00661079,0.00661079
3,109.331,2.17755,2.58561,1.52626,0.52851,0.24428,0.33119,0.14415,2.01715,2.14665,1.44718,0.00987824,0.00987824,0.00987824
4,145.002,2.08913,2.48544,1.45675,0.45603,0.45916,0.41071,0.18443,1.89331,1.76599,1.36823,0.0098515,0.0098515,0.0098515
5,181.31,1.97987,2.32306,1.38248,0.51239,0.47573,0.47084,0.21902,1.81378,1.62038,1.32664,0.009802,0.009802,0.009802
6,216.825,1.921,2.18717,1.35061,0.52115,0.46869,0.48025,0.22911,1.79682,1.60293,1.32066,0.0097525,0.0097525,0.0097525
7,252.64,1.87736,2.14818,1.3273,0.52137,0.49391,0.49114,0.23387,1.79756,1.54676,1.31389,0.009703,0.009703,0.009703
8,287.826,1.86245,2.11677,1.31743,0.5537,0.50138,0.52987,0.25473,1.78703,1.54297,1.30884,0.0096535,0.0096535,0.0096535
9,323.209,1.82339,2.02996,1.31586,0.56523,0.52021,0.54982,0.27069,1.75385,1.4663,1.29808,0.009604,0.009604,0.009604
10,361.517,1.78991,1.98909,1.27391,0.59205,0.5538,0.56427,0.26937,1.72313,1.49234,1.27453,0.0095545,0.0095545,0.0095545
11,396.431,1.79043,2.00493,1.29311,0.60065,0.54894,0.58319,0.29074,1.73448,1.39538,1.28794,0.009505,0.009505,0.009505
12,433.735,1.80754,2.0344,1.28887,0.55424,0.51975,0.53268,0.26019,1.7385,1.52203,1.28298,0.0094555,0.0094555,0.0094555
13,469.105,1.77155,1.97743,1.27978,0.60587,0.55999,0.57746,0.28984,1.71322,1.40731,1.2744,0.009406,0.009406,0.009406
14,504.65,1.75255,1.90406,1.26045,0.64543,0.57853,0.62056,0.30795,1.70942,1.36263,1.27076,0.0093565,0.0093565,0.0093565
15,539.813,1.74245,1.89218,1.24387,0.63923,0.59307,0.62548,0.31578,1.68921,1.3171,1.26233,0.009307,0.009307,0.009307
16,574.926,1.72495,1.86257,1.25714,0.64866,0.58593,0.62665,0.32029,1.68919,1.32783,1.25734,0.0092575,0.0092575,0.0092575
17,610.051,1.74632,1.90448,1.2671,0.64308,0.5995,0.63411,0.32356,1.70391,1.30575,1.26404,0.009208,0.009208,0.009208
18,645.21,1.72493,1.85176,1.251,0.64086,0.59416,0.63109,0.32515,1.67356,1.32289,1.25253,0.0091585,0.0091585,0.0091585
19,680.594,1.7202,1.92349,1.263,0.68613,0.58587,0.64593,0.32947,1.68046,1.32397,1.25557,0.009109,0.009109,0.009109
20,715.7,1.67941,1.82499,1.22938,0.66459,0.61527,0.66698,0.34229,1.67229,1.28066,1.2531,0.0090595,0.0090595,0.0090595
21,750.929,1.70336,1.81652,1.24508,0.70443,0.59659,0.65531,0.32899,1.68926,1.26783,1.2488,0.00901,0.00901,0.00901
22,786.003,1.70139,1.79848,1.23595,0.66419,0.63764,0.66596,0.3476,1.65856,1.21344,1.24783,0.0089605,0.0089605,0.0089605
23,821.257,1.69602,1.75994,1.24948,0.68796,0.61105,0.67132,0.35167,1.6433,1.2448,1.23402,0.008911,0.008911,0.008911
24,856.082,1.67269,1.76966,1.24699,0.6971,0.6323,0.69681,0.36347,1.65143,1.22638,1.23609,0.0088615,0.0088615,0.0088615
25,890.806,1.66109,1.76945,1.23817,0.6893,0.62911,0.67454,0.35288,1.62189,1.20985,1.21978,0.008812,0.008812,0.008812
