epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.5705,4.65063,4.37529,3.33498,0.14363,0.14348,0.11779,0.04528,2.90477,2.51391,2.16807,0.00331034,0.00331034,0.00331034
2,74.3419,2.34861,2.50244,1.70868,0.29639,0.3314,0.24619,0.09087,2.27285,2.06501,1.60669,0.00661737,0.00661737,0.00661737
3,110.584,2.11598,2.22144,1.4857,0.46344,0.40906,0.38351,0.16159,2.05276,1.82758,1.46723,0.00989799,0.00989799,0.00989799
4,147.287,1.99425,2.06433,1.40038,0.4581,0.51296,0.45471,0.20866,1.87003,1.98477,1.36363,0.0098812,0.0098812,0.0098812
5,183.367,1.88696,1.91744,1.33629,0.54217,0.49414,0.48856,0.2313,1.77532,1.55081,1.3066,0.0098416,0.0098416,0.0098416
6,219.418,1.83836,1.80889,1.30667,0.59655,0.52215,0.55625,0.26928,1.77273,1.43787,1.30216,0.009802,0.009802,0.009802
7,255.8,1.79709,1.75997,1.28587,0.55073,0.499,0.50386,0.24668,1.76101,1.56541,1.29741,0.0097624,0.0097624,0.0097624
8,291.778,1.77931,1.68686,1.26933,0.61081,0.58182,0.61101,0.30317,1.74504,1.34939,1.28795,0.0097228,0.0097228,0.0097228
9,328.707,1.74591,1.65199,1.26944,0.61037,0.58254,0.6154,0.30983,1.71334,1.34519,1.27603,0.0096832,0.0096832,0.0096832
10,364.859,1.71676,1.59208,1.23923,0.60274,0.59079,0.6201,0.31357,1.69988,1.34174,1.26922,0.0096436,0.0096436,0.0096436
11,400.937,1.70169,1.59336,1.2484,0.63945,0.59735,0.6268,0.31447,1.69546,1.28157,1.26652,0.009604,0.009604,0.009604
12,437.03,1.70729,1.59117,1.23721,0.66082,0.62041,0.66227,0.32884,1.6905,1.28523,1.26048,0.0095644,0.0095644,0.0095644
13,473.358,1.68705,1.55083,1.23718,0.67893,0.61546,0.66489,0.3323,1.67751,1.35611,1.25741,0.0095248,0.0095248,0.0095248
14,509.274,1.65246,1.5138,1.21849,0.67235,0.61909,0.67516,0.34099,1.68991,1.22441,1.26056,0.0094852,0.0094852,0.0094852
15,545.561,1.6373,1.46258,1.19495,0.68808,0.64682,0.6887,0.34984,1.66211,1.21174,1.25131,0.0094456,0.0094456,0.0094456
16,581.694,1.62917,1.45181,1.21263,0.70397,0.65091,0.69488,0.36094,1.65269,1.17006,1.24349,0.009406,0.009406,0.009406
17,617.831,1.63141,1.45444,1.20939,0.74132,0.65285,0.70883,0.36789,1.64058,1.12885,1.23915,0.0093664,0.0093664,0.0093664
18,653.766,1.60702,1.40173,1.19601,0.73834,0.65718,0.71633,0.37106,1.64893,1.09936,1.23992,0.0093268,0.0093268,0.0093268
19,689.881,1.60017,1.42444,1.20807,0.71377,0.66599,0.7145,0.37477,1.63115,1.11117,1.23309,0.0092872,0.0092872,0.0092872
20,725.763,1.56468,1.38484,1.18055,0.74598,0.65668,0.72605,0.38345,1.63526,1.06815,1.23727,0.0092476,0.0092476,0.0092476
21,761.986,1.57822,1.37532,1.19081,0.7306,0.69136,0.74393,0.39116,1.6264,1.05512,1.23043,0.009208,0.009208,0.009208
22,798.067,1.5657,1.32776,1.1763,0.7511,0.67171,0.72899,0.38161,1.64141,1.10187,1.24033,0.0091684,0.0091684,0.0091684
23,834.187,1.57226,1.35625,1.19188,0.75496,0.68215,0.75037,0.4006,1.61619,1.06032,1.22099,0.0091288,0.0091288,0.0091288
24,870.386,1.54042,1.31736,1.18154,0.72818,0.70552,0.7479,0.40101,1.60867,1.03338,1.22423,0.0090892,0.0090892,0.0090892
25,906.474,1.53112,1.29523,1.17449,0.75701,0.71604,0.76691,0.414,1.59205,1.01059,1.21614,0.0090496,0.0090496,0.0090496
26,942.703,1.5024,1.23752,1.15781,0.75623,0.68158,0.74303,0.39167,1.61965,1.06668,1.22737,0.00901,0.00901,0.00901
27,978.8,1.50258,1.25195,1.15883,0.71995,0.72724,0.76113,0.40485,1.60191,1.01,1.22048,0.0089704,0.0089704,0.0089704
28,1014.74,1.4883,1.22367,1.1478,0.76073,0.70555,0.77136,0.42294,1.57544,1.02408,1.21526,0.0089308,0.0089308,0.0089308
29,1051.06,1.50462,1.27956,1.15894,0.75934,0.72895,0.77205,0.41881,1.5641,0.99068,1.20482,0.0088912,0.0088912,0.0088912
30,1087.09,1.48619,1.23473,1.14197,0.76373,0.72135,0.77305,0.42531,1.56104,0.98213,1.20847,0.0088516,0.0088516,0.0088516
31,1123.15,1.46694,1.21165,1.14003,0.76479,0.71974,0.78084,0.42641,1.56439,0.98974,1.20932,0.008812,0.008812,0.008812
32,1159.2,1.44671,1.18258,1.13512,0.74801,0.74023,0.77421,0.42282,1.57011,0.98919,1.21034,0.0087724,0.0087724,0.0087724
33,1195.44,1.47363,1.20634,1.14455,0.76001,0.74645,0.78777,0.44008,1.54099,0.99025,1.19697,0.0087328,0.0087328,0.0087328
34,1231.72,1.4442,1.15201,1.1424,0.7567,0.72323,0.77644,0.43288,1.53961,0.98205,1.19529,0.0086932,0.0086932,0.0086932
35,1267.94,1.45958,1.16743,1.13969,0.76539,0.74852,0.78975,0.43851,1.55522,0.94714,1.20311,0.0086536,0.0086536,0.0086536
36,1304.04,1.43376,1.14861,1.1348,0.77418,0.76644,0.80013,0.4486,1.53288,0.91095,1.19245,0.008614,0.008614,0.008614
37,1340.15,1.41516,1.11783,1.11706,0.76234,0.73696,0.79478,0.4441,1.52086,0.92907,1.18988,0.0085744,0.0085744,0.0085744
38,1376.35,1.43204,1.14713,1.13408,0.77001,0.76674,0.8077,0.45214,1.53457,0.94163,1.19762,0.0085348,0.0085348,0.0085348
39,1412.68,1.40324,1.13139,1.12001,0.78319,0.74347,0.80318,0.45057,1.52929,0.95491,1.196,0.0084952,0.0084952,0.0084952
40,1449.06,1.42182,1.14105,1.13393,0.77638,0.75494,0.80374,0.44555,1.54867,0.94378,1.2035,0.0084556,0.0084556,0.0084556
41,1485.29,1.40492,1.1206,1.12016,0.77856,0.75974,0.80127,0.44837,1.52946,0.92635,1.19331,0.008416,0.008416,0.008416
42,1521.34,1.40053,1.10965,1.11657,0.78177,0.74838,0.80275,0.44956,1.52343,0.91954,1.19349,0.0083764,0.0083764,0.0083764
43,1557.38,1.39621,1.11862,1.11738,0.75811,0.75595,0.79776,0.45404,1.50469,0.99439,1.18677,0.0083368,0.0083368,0.0083368
44,1593.47,1.36706,1.07801,1.10289,0.79061,0.77532,0.81046,0.45964,1.50143,0.90634,1.18864,0.0082972,0.0082972,0.0082972
45,1629.39,1.37166,1.07459,1.11066,0.7568,0.78136,0.80562,0.45309,1.52137,0.92354,1.19125,0.0082576,0.0082576,0.0082576
46,1665.78,1.38263,1.05966,1.09418,0.80368,0.7663,0.81976,0.47062,1.50154,0.87742,1.18484,0.008218,0.008218,0.008218
47,1702.14,1.35449,1.04869,1.0966,0.7741,0.77788,0.80996,0.46278,1.49806,0.91164,1.18253,0.0081784,0.0081784,0.0081784
48,1738.2,1.37666,1.06744,1.10373,0.78368,0.77803,0.81485,0.4666,1.5015,0.88467,1.18956,0.0081388,0.0081388,0.0081388
49,1774.59,1.35772,1.06331,1.09657,0.78627,0.7696,0.81309,0.46113,1.50701,0.88079,1.18416,0.0080992,0.0080992,0.0080992
50,1810.6,1.34359,1.03567,1.09542,0.79078,0.76903,0.81423,0.46512,1.51103,0.89791,1.18947,0.0080596,0.0080596,0.0080596
51,1846.86,1.36159,1.06967,1.10695,0.77759,0.7684,0.80873,0.45656,1.51178,0.91857,1.18826,0.00802,0.00802,0.00802
52,1883.04,1.35006,1.05234,1.09714,0.78248,0.7925,0.82693,0.47621,1.48523,0.8754,1.18083,0.0079804,0.0079804,0.0079804
53,1919.24,1.34412,1.04601,1.09324,0.79937,0.77257,0.82324,0.47438,1.48143,0.88014,1.18391,0.0079408,0.0079408,0.0079408
54,1954.97,1.33879,1.0176,1.09746,0.79391,0.78644,0.82331,0.47097,1.49216,0.87025,1.17993,0.0079012,0.0079012,0.0079012
55,1990.84,1.31972,1.01433,1.08055,0.79098,0.78722,0.83138,0.48037,1.48704,0.83781,1.18276,0.0078616,0.0078616,0.0078616
56,2027.04,1.34074,1.02241,1.09193,0.77292,0.79166,0.81971,0.46686,1.48945,0.89402,1.1793,0.007822,0.007822,0.007822
57,2063.41,1.35103,1.017,1.10116,0.79545,0.7835,0.82486,0.47599,1.4858,0.86876,1.18055,0.0077824,0.0077824,0.0077824
58,2099.89,1.33341,1.00599,1.08961,0.79388,0.77496,0.81878,0.47071,1.4929,0.88356,1.18612,0.0077428,0.0077428,0.0077428
