epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,128.657,1.91138,9.3595,0.58123,0.00089,0.03718,0.00046,9.00E-05,1.70773,8.98977,0.70617,0.00330409,0.00330409,0.00330409
2,249.21,1.8682,3.09141,0.6993,0,0,0,0,nan,nan,nan,0.00660457,0.00660457,0.00660457
3,384.655,1.78448,0.25651,0.61677,0.00211,0.05692,0.00115,0.00024,1.39236,0.45507,0.40832,0.00987205,0.00987205,0.00987205
4,522.808,1.65062,0.31264,0.50181,0.35321,0.02846,0.00982,0.00297,1.4847,0.44589,0.41081,0.0098515,0.0098515,0.0098515
5,658.916,1.48093,0.46773,0.40795,0.09098,0.13269,0.08658,0.02862,0.97929,0.73595,0.25457,0.009802,0.009802,0.009802
6,793.498,1.27265,0.59264,0.327,0.1505,0.19881,0.11042,0.04512,0.7606,0.93744,0.19677,0.0097525,0.0097525,0.0097525
7,923.665,1.21044,0.61401,0.30151,0.16493,0.22676,0.12049,0.05035,0.78414,0.89951,0.20506,0.009703,0.009703,0.009703
8,1062.51,1.15757,0.63178,0.27714,0.18978,0.32177,0.16708,0.06943,0.7186,0.91721,0.18269,0.0096535,0.0096535,0.0096535
9,1199.53,1.11446,0.64436,0.26068,0.27258,0.34091,0.2216,0.09267,0.70793,0.8925,0.17888,0.009604,0.009604,0.009604
10,1335.87,1.1065,0.62876,0.25402,0.29574,0.34285,0.24339,0.08725,0.74199,0.84134,0.18399,0.0095545,0.0095545,0.0095545
11,1470.96,1.05355,0.65651,0.24066,0.30998,0.32798,0.25152,0.08999,0.74939,0.85121,0.18346,0.009505,0.009505,0.009505
12,1598.58,1.03588,0.65019,0.22803,0.38633,0.3917,0.32167,0.13225,0.69593,0.82456,0.17432,0.0094555,0.0094555,0.0094555
