epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,99.2017,1.64617,2.57868,0.57345,0.14527,0.16263,0.11889,0.04206,0.82864,0.96928,0.21611,0.00330409,0.00330409,0.00330409
2,197.691,1.14666,0.64588,0.26707,0.33523,0.35355,0.26092,0.08956,0.82961,0.75941,0.1928,0.00660457,0.00660457,0.00660457
3,301.762,1.24534,0.50524,0.2613,0.30854,0.21786,0.16323,0.03294,1.08544,0.56295,0.22362,0.00987205,0.00987205,0.00987205
4,403.576,1.20876,0.49165,0.2501,0.12042,0.20114,0.08672,0.02143,1.18207,0.51353,0.25651,0.0098515,0.0098515,0.0098515
5,506.64,1.17708,0.49857,0.23787,0.52793,0.49276,0.45095,0.11897,0.86774,0.61647,0.21372,0.009802,0.009802,0.009802
6,611.176,1.12329,0.50717,0.22179,0.58496,0.53641,0.5289,0.16478,0.80575,0.63039,0.19436,0.0097525,0.0097525,0.0097525
7,714.905,1.10473,0.51793,0.21688,0.51273,0.46495,0.43798,0.14151,0.80508,0.65359,0.1817,0.009703,0.009703,0.009703
8,819.047,1.1162,0.50823,0.21294,0.55268,0.47087,0.48225,0.15689,0.81064,0.65992,0.17839,0.0096535,0.0096535,0.0096535
9,920.963,1.08762,0.5232,0.20604,0.63151,0.60361,0.58836,0.21029,0.77396,0.55921,0.18174,0.009604,0.009604,0.009604
10,1026.58,1.05758,0.52123,0.20326,0.66786,0.64021,0.63793,0.23645,0.73196,0.60101,0.17145,0.0095545,0.0095545,0.0095545
11,1131.08,1.02943,0.52873,0.19826,0.63339,0.58422,0.58096,0.18906,0.79654,0.58806,0.17112,0.009505,0.009505,0.009505
12,1234.25,1.05587,0.50578,0.19442,0.70173,0.66569,0.68025,0.28553,0.65393,0.61084,0.1542,0.0094555,0.0094555,0.0094555
13,1339.61,1.04005,0.51787,0.18995,0.64714,0.62943,0.60325,0.20154,0.78312,0.55697,0.17766,0.009406,0.009406,0.009406
14,1442.25,1.01376,0.51776,0.19129,0.58558,0.5008,0.49734,0.14485,0.87665,0.5328,0.17704,0.0093565,0.0093565,0.0093565
15,1546.96,1.02567,0.50934,0.1909,0.66115,0.62578,0.61541,0.20409,0.78257,0.56544,0.17113,0.009307,0.009307,0.009307
16,1648.52,1.02106,0.51173,0.18561,0.70588,0.65935,0.67775,0.26134,0.71259,0.55362,0.15686,0.0092575,0.0092575,0.0092575
17,1751.11,1.01869,0.50553,0.19031,0.70033,0.66175,0.67726,0.27066,0.70008,0.58344,0.15982,0.009208,0.009208,0.009208
18,1852.44,0.97469,0.52296,0.17852,0.64816,0.57392,0.58374,0.19838,0.8061,0.54805,0.17447,0.0091585,0.0091585,0.0091585
19,1953.86,0.9847,0.52414,0.18188,0.71837,0.71102,0.72097,0.28137,0.68508,0.55388,0.15581,0.009109,0.009109,0.009109
20,2060.23,0.96865,0.51657,0.17343,0.75588,0.73639,0.75694,0.32821,0.63653,0.56846,0.14799,0.0090595,0.0090595,0.0090595
21,2165.15,0.95318,0.52142,0.17498,0.74448,0.73211,0.74209,0.30678,0.66842,0.55435,0.15476,0.00901,0.00901,0.00901
22,2268.22,0.9489,0.53189,0.17659,0.67419,0.64645,0.6508,0.2705,0.70589,0.57749,0.15323,0.0089605,0.0089605,0.0089605
23,2370.78,0.95179,0.53307,0.17702,0.72675,0.72687,0.74118,0.30111,0.65801,0.59411,0.14926,0.008911,0.008911,0.008911
24,2473.24,0.96314,0.51888,0.16895,0.73732,0.68748,0.70096,0.2923,0.6933,0.53602,0.15063,0.0088615,0.0088615,0.0088615
25,2575.92,0.93721,0.5182,0.16832,0.75766,0.76602,0.78294,0.36613,0.58943,0.55814,0.13553,0.008812,0.008812,0.008812
26,2682.15,0.92127,0.51922,0.16397,0.76687,0.77034,0.78285,0.36074,0.60184,0.56277,0.13938,0.0087625,0.0087625,0.0087625
27,2784.91,0.91497,0.52713,0.16613,0.68915,0.71386,0.7328,0.33566,0.62505,0.59317,0.14385,0.008713,0.008713,0.008713
28,2887.33,0.91063,0.52751,0.16584,0.77841,0.7416,0.77319,0.34101,0.64523,0.52649,0.14155,0.0086635,0.0086635,0.0086635
29,2990.99,0.92132,0.51655,0.16144,0.80031,0.80863,0.82618,0.41357,0.56058,0.51945,0.12822,0.008614,0.008614,0.008614
30,3096.74,0.91655,0.51752,0.16094,0.76189,0.79356,0.78868,0.3639,0.60041,0.55173,0.13375,0.0085645,0.0085645,0.0085645
31,3200.42,0.92035,0.51981,0.16302,0.78482,0.773,0.79553,0.35443,0.62776,0.53607,0.1367,0.008515,0.008515,0.008515
32,3303.29,0.91418,0.52126,0.16143,0.79055,0.7957,0.80581,0.40387,0.57047,0.54382,0.13059,0.0084655,0.0084655,0.0084655
33,3405.5,0.90848,0.51226,0.15515,0.78967,0.78357,0.80643,0.38438,0.58508,0.54629,0.13262,0.008416,0.008416,0.008416
