                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  4.684,                 4.3717,                 3.4063,                0.21488,                0.25034,                0.17219,                0.06744,                 2.4893,                 2.5395,                 1.9254,              0.0033294,              0.0033294,              0.0033294
                      2,                 2.2025,                 2.0881,                  1.586,                0.41722,                0.37005,                0.34851,                0.15208,                 1.9972,                 2.0852,                 1.5145,              0.0065968,              0.0065968,              0.0065968
                      3,                 2.0417,                 1.8221,                 1.4374,                0.51218,                0.44625,                0.42474,                0.18989,                 1.8814,                 1.8182,                 1.4241,              0.0097982,              0.0097982,              0.0097982
                      4,                 1.9343,                  1.647,                 1.3558,                0.54192,                0.51701,                  0.517,                0.24015,                 1.7938,                  1.584,                 1.3618,               0.009703,               0.009703,               0.009703
                      5,                 1.8563,                 1.5466,                 1.3351,                0.58448,                0.55612,                0.56406,                0.26701,                 1.7749,                 1.5218,                 1.3494,               0.009604,               0.009604,               0.009604
                      6,                 1.8267,                 1.4685,                 1.3062,                0.60144,                0.56964,                0.58409,                0.28047,                 1.7431,                 1.5937,                 1.3241,               0.009505,               0.009505,               0.009505
                      7,                 1.7815,                 1.3878,                 1.2844,                0.62798,                0.59018,                0.61626,                0.30521,                 1.7193,                 1.4788,                 1.3109,               0.009406,               0.009406,               0.009406
                      8,                 1.7577,                 1.3447,                 1.2724,                0.60255,                0.58003,                0.59711,                0.29398,                 1.7122,                 1.3894,                 1.3091,               0.009307,               0.009307,               0.009307
                      9,                  1.739,                 1.3106,                 1.2659,                0.66581,                0.63774,                0.67996,                0.34847,                 1.6596,                 1.2429,                 1.2838,               0.009208,               0.009208,               0.009208
                     10,                   1.72,                 1.2649,                 1.2578,                0.68233,                0.64198,                0.69061,                0.35361,                 1.6582,                 1.2717,                 1.2795,               0.009109,               0.009109,               0.009109
                     11,                 1.7036,                  1.233,                 1.2488,                0.67428,                0.65594,                0.68335,                0.35279,                 1.6495,                 1.2252,                 1.2762,                0.00901,                0.00901,                0.00901
                     12,                  1.688,                 1.2032,                 1.2421,                0.70173,                0.67339,                0.71834,                0.37753,                 1.6115,                 1.1436,                 1.2581,               0.008911,               0.008911,               0.008911
                     13,                 1.6709,                  1.169,                 1.2289,                0.71361,                0.66911,                0.72263,                0.38335,                 1.6111,                 1.1306,                 1.2586,               0.008812,               0.008812,               0.008812
                     14,                 1.6588,                 1.1493,                 1.2281,                0.71909,                0.70585,                0.74302,                0.40078,                 1.5764,                 1.1319,                 1.2382,               0.008713,               0.008713,               0.008713
                     15,                 1.6426,                 1.1135,                 1.2255,                0.70073,                0.70232,                0.72292,                0.38947,                 1.5764,                 1.1132,                 1.2415,               0.008614,               0.008614,               0.008614
                     16,                 1.6174,                 1.0957,                 1.2131,                0.72769,                0.73952,                0.76869,                0.42103,                 1.5416,                  1.024,                 1.2243,               0.008515,               0.008515,               0.008515
                     17,                 1.6066,                 1.0699,                 1.2071,                0.73244,                0.73356,                0.77629,                0.42948,                 1.5386,                 1.0448,                  1.226,               0.008416,               0.008416,               0.008416
                     18,                 1.5968,                 1.0525,                 1.2069,                0.70438,                0.71687,                0.73521,                0.40301,                 1.5385,                 1.1975,                 1.2243,               0.008317,               0.008317,               0.008317
                     19,                 1.5693,                 1.0306,                 1.1977,                 0.7334,                0.73551,                0.76627,                0.42711,                 1.5093,                 1.1136,                 1.2112,               0.008218,               0.008218,               0.008218
                     20,                 1.5702,                 1.0019,                 1.1904,                0.76148,                0.73905,                0.78473,                 0.4402,                 1.5106,                0.98204,                 1.2047,               0.008119,               0.008119,               0.008119
                     21,                   1.55,                0.98873,                 1.1818,                 0.7806,                 0.7493,                 0.8044,                0.46165,                 1.4757,                0.95152,                 1.1943,                0.00802,                0.00802,                0.00802
