                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4036,                 3.2415,                 2.4666,                0.46833,                 0.4382,                 0.4065,                0.17418,                  2.063,                 1.8604,                 1.5853,              0.0033294,              0.0033294,              0.0033294
                      2,                 2.0362,                 1.7932,                 1.4805,                0.42277,                0.50379,                 0.4141,                0.18261,                 2.0083,                 2.0019,                 1.4982,              0.0065968,              0.0065968,              0.0065968
                      3,                 1.9602,                 1.6453,                 1.4008,                0.46155,                0.45656,                0.41597,                0.18756,                 1.9961,                 1.7256,                 1.4823,              0.0097982,              0.0097982,              0.0097982
                      4,                 1.8801,                 1.5404,                 1.3509,                0.42153,                0.60906,                0.42491,                0.19321,                 1.8581,                 3.6105,                 1.4033,               0.009703,               0.009703,               0.009703
                      5,                  1.832,                 1.4645,                 1.3325,                0.47919,                0.58927,                0.47031,                0.21794,                 1.7636,                 1.8685,                 1.3399,               0.009703,               0.009703,               0.009703
                      6,                 1.8072,                 1.4091,                 1.3126,                0.63209,                 0.5726,                0.59345,                0.29037,                 1.7432,                 1.4615,                 1.3351,               0.009604,               0.009604,               0.009604
                      7,                 1.7613,                  1.333,                 1.2956,                0.57647,                0.58022,                0.54637,                0.25502,                 1.7937,                 1.6436,                 1.3476,               0.009505,               0.009505,               0.009505
                      8,                 1.7581,                 1.3208,                 1.2902,                0.67506,                0.63211,                0.66671,                0.33107,                  1.702,                 1.2588,                 1.3143,               0.009406,               0.009406,               0.009406
                      9,                 1.7199,                 1.2397,                 1.2637,                0.63438,                0.66744,                0.63379,                0.32091,                 1.6508,                 1.2115,                 1.2851,               0.009307,               0.009307,               0.009307
                     10,                 1.7078,                   1.22,                 1.2664,                0.66347,                0.64798,                0.65078,                0.32649,                 1.6665,                 1.2594,                 1.2885,               0.009208,               0.009208,               0.009208
                     11,                 1.6878,                 1.1901,                 1.2597,                0.57791,                0.65626,                0.58228,                0.29265,                 1.6598,                 1.3116,                 1.2872,               0.009109,               0.009109,               0.009109
                     12,                 1.6749,                  1.156,                 1.2506,                  0.739,                0.69241,                0.75037,                0.40188,                 1.5975,                 1.0901,                 1.2567,                0.00901,                0.00901,                0.00901
                     13,                 1.6487,                 1.1455,                 1.2474,                0.68362,                0.64882,                0.66233,                0.33481,                 1.6359,                 1.1854,                 1.2747,               0.008911,               0.008911,               0.008911
                     14,                 1.6253,                 1.1039,                 1.2301,                0.71471,                0.66648,                0.71605,                0.37497,                 1.6204,                 1.1193,                 1.2608,               0.008812,               0.008812,               0.008812
