                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4629,                 3.5149,                 2.5569,                 0.3507,                0.33426,                0.27563,                0.11258,                    2.2,                 2.1986,                 1.7332,              0.0033294,              0.0033294,              0.0033294
                      2,                 2.1432,                 2.0528,                 1.5623,                0.51415,                0.42645,                0.43154,                0.19242,                 1.9313,                 1.7969,                 1.4751,              0.0065968,              0.0065968,              0.0065968
                      3,                 2.0191,                 1.8557,                 1.4454,                0.47328,                0.46067,                0.44214,                 0.2048,                 1.8562,                 1.7401,                 1.4099,              0.0097982,              0.0097982,              0.0097982
                      4,                 1.9168,                 1.6822,                 1.3753,                 0.5564,                 0.5208,                0.52572,                0.24546,                 1.8213,                 1.5533,                 1.3804,               0.009703,               0.009703,               0.009703
                      5,                 1.8702,                 1.5899,                 1.3549,                0.58691,                0.53147,                0.55041,                0.26614,                  1.762,                 1.5075,                 1.3465,               0.009703,               0.009703,               0.009703
                      6,                 1.8414,                 1.5187,                   1.33,                0.62879,                0.57283,                0.60491,                0.29617,                 1.7277,                 1.4409,                 1.3255,               0.009604,               0.009604,               0.009604
                      7,                 1.7902,                  1.438,                 1.3114,                0.66351,                0.59372,                0.64492,                0.31622,                 1.7071,                 1.3639,                 1.3124,               0.009505,               0.009505,               0.009505
                      8,                 1.7943,                 1.4329,                 1.3085,                0.62553,                0.60524,                0.62769,                0.31149,                 1.6963,                 1.3862,                 1.3073,               0.009406,               0.009406,               0.009406
                      9,                 1.7535,                 1.3451,                 1.2828,                0.66868,                0.62775,                 0.6702,                0.33914,                 1.6698,                 1.2718,                  1.299,               0.009307,               0.009307,               0.009307
                     10,                  1.745,                 1.3253,                 1.2858,                0.65272,                0.63594,                0.66902,                0.32917,                 1.7164,                 1.3899,                 1.3117,               0.009208,               0.009208,               0.009208
                     11,                 1.7324,                 1.2976,                 1.2825,                0.70645,                0.65862,                0.70767,                0.36416,                 1.6475,                 1.2034,                 1.2829,               0.009109,               0.009109,               0.009109
                     12,                 1.7197,                 1.2628,                 1.2732,                0.66027,                0.65813,                0.68269,                0.35218,                 1.6468,                  1.362,                  1.281,                0.00901,                0.00901,                0.00901
                     13,                 1.7015,                 1.2471,                 1.2725,                0.66819,                 0.6728,                 0.6921,                0.35768,                 1.6236,                 1.3068,                 1.2694,               0.008911,               0.008911,               0.008911
                     14,                 1.6828,                 1.2079,                 1.2568,                0.72556,                0.68691,                0.73982,                0.38807,                 1.6049,                 1.1423,                  1.257,               0.008812,               0.008812,               0.008812
                     15,                 1.6656,                 1.1842,                 1.2368,                0.72304,                0.68709,                0.73682,                0.38852,                 1.6042,                 1.1369,                 1.2536,               0.008713,               0.008713,               0.008713
                     16,                 1.6546,                 1.1623,                 1.2525,                 0.6951,                0.67985,                0.71853,                 0.3802,                 1.6126,                 1.1475,                 1.2611,               0.008614,               0.008614,               0.008614
                     17,                 1.6497,                 1.1319,                 1.2318,                0.74709,                0.72351,                0.77449,                0.41966,                  1.573,                 1.0401,                 1.2429,               0.008515,               0.008515,               0.008515
                     18,                 1.6363,                 1.1296,                  1.245,                0.71801,                0.70539,                0.74789,                0.40181,                 1.5999,                  1.125,                 1.2546,               0.008416,               0.008416,               0.008416
                     19,                 1.6254,                 1.0942,                 1.2297,                0.72482,                0.71415,                0.75364,                0.41097,                  1.574,                 1.0908,                 1.2449,               0.008317,               0.008317,               0.008317
                     20,                 1.6011,                 1.0833,                 1.2241,                0.73235,                0.71573,                0.75855,                0.41451,                 1.5624,                 1.0622,                  1.238,               0.008218,               0.008218,               0.008218
                     21,                 1.5972,                 1.0599,                 1.2141,                0.76181,                0.74113,                0.78813,                0.43738,                 1.5314,                0.99979,                 1.2199,               0.008119,               0.008119,               0.008119
                     22,                 1.5895,                 1.0362,                  1.207,                0.72293,                0.72993,                0.76346,                0.42032,                 1.5473,                 1.0605,                 1.2302,                0.00802,                0.00802,                0.00802
                     23,                 1.5725,                 1.0206,                 1.2127,                0.75866,                 0.7381,                0.77945,                0.43366,                 1.5303,                0.99818,                 1.2245,               0.007921,               0.007921,               0.007921
                     24,                 1.5716,                 1.0073,                 1.2102,                0.76827,                0.75175,                0.80025,                0.45118,                 1.5258,                0.95623,                  1.219,               0.007822,               0.007822,               0.007822
                     25,                 1.5629,                  1.009,                 1.1971,                0.78233,                0.76126,                 0.8151,                0.46733,                 1.4812,                0.91558,                  1.198,               0.007723,               0.007723,               0.007723
                     26,                 1.5379,                0.98859,                 1.1967,                0.78636,                0.75848,                0.81354,                0.46712,                 1.4789,                0.94789,                 1.1972,               0.007624,               0.007624,               0.007624
                     27,                  1.527,                0.96698,                 1.1888,                0.78502,                0.77583,                0.82249,                0.47707,                 1.4643,                0.93006,                   1.19,               0.007525,               0.007525,               0.007525
                     28,                 1.4986,                0.94822,                 1.1718,                0.80413,                0.78137,                0.83303,                 0.4861,                 1.4502,                0.90422,                 1.1849,               0.007426,               0.007426,               0.007426
                     29,                 1.5113,                0.94065,                 1.1785,                0.79673,                0.78168,                0.82892,                 0.4854,                 1.4441,                0.92197,                  1.184,               0.007327,               0.007327,               0.007327
                     30,                 1.4789,                0.93427,                 1.1684,                 0.8113,                 0.7865,                0.83954,                 0.4962,                 1.4263,                0.86445,                 1.1749,               0.007228,               0.007228,               0.007228
                     31,                 1.4819,                0.91365,                  1.165,                0.80385,                0.79656,                0.84415,                0.50197,                 1.4061,                0.85272,                 1.1683,               0.007129,               0.007129,               0.007129
                     32,                 1.4748,                0.91845,                 1.1607,                0.80068,                0.78253,                0.83463,                0.48895,                 1.4409,                0.87501,                 1.1797,                0.00703,                0.00703,                0.00703
                     33,                 1.4834,                 0.9181,                 1.1679,                0.78576,                0.76858,                0.82011,                0.48075,                  1.428,                0.94796,                 1.1737,               0.006931,               0.006931,               0.006931
                     34,                 1.4614,                0.89988,                 1.1636,                0.82996,                0.80342,                0.86106,                0.52171,                 1.3804,                0.80245,                  1.154,               0.006832,               0.006832,               0.006832
                     35,                 1.4665,                0.89321,                 1.1622,                0.82564,                0.79563,                0.85583,                0.51181,                 1.3903,                0.82706,                 1.1568,               0.006733,               0.006733,               0.006733
                     36,                 1.4418,                0.87254,                 1.1478,                0.81968,                0.80697,                0.85271,                0.51337,                 1.3814,                0.85464,                 1.1522,               0.006634,               0.006634,               0.006634
                     37,                 1.4397,                0.86864,                 1.1459,                0.82365,                0.81311,                0.86157,                0.52262,                 1.3663,                0.81445,                  1.145,               0.006535,               0.006535,               0.006535
                     38,                 1.4317,                0.87701,                 1.1457,                0.83034,                0.82039,                0.86997,                 0.5309,                 1.3588,                0.79659,                 1.1427,               0.006436,               0.006436,               0.006436
                     39,                  1.412,                0.85023,                 1.1424,                0.82468,                0.80589,                0.86237,                0.52623,                 1.3594,                 0.8045,                 1.1461,               0.006337,               0.006337,               0.006337
                     40,                 1.4197,                0.84873,                 1.1562,                0.83531,                0.81794,                0.86836,                0.53195,                 1.3586,                0.79178,                 1.1445,               0.006238,               0.006238,               0.006238
                     41,                 1.4107,                0.84525,                 1.1359,                0.82433,                0.83102,                0.87135,                0.53344,                 1.3476,                0.76655,                 1.1381,               0.006139,               0.006139,               0.006139
                     42,                 1.4058,                0.83789,                 1.1308,                0.82936,                0.82357,                0.87373,                0.53865,                 1.3345,                0.77565,                 1.1345,                0.00604,                0.00604,                0.00604
                     43,                 1.3948,                0.83301,                 1.1394,                0.83814,                0.83601,                0.87935,                0.54644,                 1.3185,                0.75594,                 1.1251,               0.005941,               0.005941,               0.005941
                     44,                 1.3896,                 0.8245,                 1.1265,                0.84211,                0.83135,                0.88058,                0.54957,                 1.3135,                0.75839,                 1.1262,               0.005842,               0.005842,               0.005842
                     45,                 1.3957,                  0.827,                 1.1367,                0.84324,                0.83588,                0.88162,                0.55379,                 1.3046,                0.76185,                 1.1214,               0.005743,               0.005743,               0.005743
                     46,                 1.3896,                0.81804,                 1.1261,                0.84406,                0.83095,                0.88108,                0.55109,                 1.3093,                0.74374,                 1.1219,               0.005644,               0.005644,               0.005644
                     47,                 1.3739,                0.80982,                 1.1239,                0.84419,                 0.8413,                0.88453,                0.55125,                 1.3193,                0.74563,                 1.1263,               0.005545,               0.005545,               0.005545
                     48,                 1.3441,                0.78596,                 1.1082,                 0.8571,                0.83138,                0.88519,                0.55589,                 1.2967,                0.72972,                 1.1178,               0.005446,               0.005446,               0.005446
                     49,                 1.3617,                0.79448,                  1.108,                0.85521,                0.83631,                0.88493,                0.55591,                 1.2967,                0.73892,                 1.1191,               0.005347,               0.005347,               0.005347
                     50,                 1.3572,                0.79232,                 1.1056,                0.86305,                0.84172,                0.88895,                0.56275,                 1.2881,                0.71551,                 1.1139,               0.005248,               0.005248,               0.005248
