epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,414.008,5.4288,4.90837,3.89574,0.05803,0.12213,0.04115,0.01449,nan,nan,nan,0.00332164,0.00332164,0.00332164
2,599.345,2.55814,2.53721,1.86969,0.33697,0.31248,0.26402,0.11576,2.04613,2.06513,1.52441,0.00662203,0.00662203,0.00662203
3,787.754,2.21763,2.17486,1.52862,0.44016,0.33673,0.31973,0.13618,2.12016,1.96035,1.54584,0.00988942,0.00988942,0.00988942
4,969.57,2.06996,1.97488,1.42045,0.46755,0.45328,0.42731,0.19609,1.87972,1.82267,1.37821,0.0098515,0.0098515,0.0098515
5,1142.76,1.98825,1.85875,1.38737,0.56121,0.51485,0.52832,0.25645,1.78783,1.53745,1.34907,0.009802,0.009802,0.009802
6,1319.77,1.94416,1.76381,1.35443,0.50862,0.58767,0.54879,0.27053,1.74752,1.97809,1.31827,0.0097525,0.0097525,0.0097525
7,1494.9,1.89382,1.68112,1.33013,0.6547,0.61051,0.64743,0.32794,1.7008,1.29333,1.29714,0.009703,0.009703,0.009703
8,1667.6,1.86553,1.62157,1.3097,0.64468,0.60447,0.64519,0.32489,1.72038,1.37104,1.29804,0.0096535,0.0096535,0.0096535
9,1844.15,1.8273,1.56154,1.29635,0.67752,0.60983,0.66778,0.34199,1.67158,1.27017,1.27547,0.009604,0.009604,0.009604
10,2018.8,1.81158,1.5154,1.28964,0.72893,0.66952,0.73059,0.39031,1.61257,1.14644,1.25803,0.0095545,0.0095545,0.0095545
11,2194.55,1.77518,1.45155,1.27549,0.75113,0.68756,0.7563,0.41604,1.56318,1.09931,1.2331,0.009505,0.009505,0.009505
12,2367.06,1.76265,1.43441,1.26981,0.75529,0.70298,0.77243,0.43194,1.54962,1.05844,1.22163,0.0094555,0.0094555,0.0094555
13,5508.27,1.74564,1.41018,1.25554,0.75763,0.69313,0.77022,0.43405,1.535,1.05954,1.2163,0.009406,0.009406,0.009406
14,5681.89,1.71793,1.36806,1.24464,0.79319,0.7141,0.80245,0.45796,1.50488,1.02113,1.2039,0.0093565,0.0093565,0.0093565
15,5856.19,1.69522,1.33396,1.24646,0.78851,0.7098,0.79264,0.45565,1.50544,1.00155,1.2027,0.009307,0.009307,0.009307
16,6031.11,1.66139,1.28642,1.23012,0.80712,0.75372,0.8221,0.48173,1.46038,0.92882,1.18548,0.0092575,0.0092575,0.0092575
17,6203.91,1.65008,1.26857,1.21994,0.82371,0.76428,0.83895,0.50388,1.41123,0.90609,1.16087,0.009208,0.009208,0.009208
18,6375.41,1.63014,1.23723,1.21383,0.84046,0.78345,0.85591,0.51898,1.39507,0.85475,1.15579,0.0091585,0.0091585,0.0091585
19,6544.94,1.6257,1.23508,1.21382,0.83155,0.78697,0.85888,0.51603,1.41225,0.858,1.15685,0.009109,0.009109,0.009109
20,6712.74,1.60348,1.19157,1.20161,0.85377,0.80137,0.8713,0.53028,1.38731,0.83403,1.14456,0.0090595,0.0090595,0.0090595
21,6883.35,1.57489,1.15998,1.18933,0.84911,0.80968,0.87182,0.54698,1.33494,0.80686,1.12898,0.00901,0.00901,0.00901
22,7054.94,1.56076,1.13487,1.18284,0.8457,0.82401,0.88021,0.55648,1.31107,0.79192,1.12053,0.0089605,0.0089605,0.0089605
23,7225.65,1.55112,1.1352,1.18052,0.86294,0.83209,0.89008,0.5643,1.30568,0.76499,1.11363,0.008911,0.008911,0.008911
24,7401.99,1.52725,1.10742,1.16797,0.87639,0.83231,0.89337,0.56845,1.28883,0.75778,1.10768,0.0088615,0.0088615,0.0088615
25,7576.51,1.53461,1.11486,1.18154,0.87363,0.84161,0.89967,0.57788,1.26654,0.74055,1.09944,0.008812,0.008812,0.008812
26,7751.39,1.51073,1.08581,1.16253,0.8742,0.83617,0.89463,0.57434,1.26744,0.74975,1.0956,0.0087625,0.0087625,0.0087625
27,7921.17,1.49997,1.07786,1.16272,0.87482,0.83717,0.89642,0.57488,1.26344,0.74967,1.09462,0.008713,0.008713,0.008713
28,8091.06,1.47564,1.03344,1.15236,0.87983,0.84817,0.90771,0.5878,1.25072,0.72091,1.09151,0.0086635,0.0086635,0.0086635
29,8264.83,1.45951,1.02032,1.14664,0.87964,0.86353,0.90728,0.59263,1.2217,0.7079,1.07833,0.008614,0.008614,0.008614
30,8432.77,1.44845,1.00738,1.13752,0.87943,0.86603,0.91227,0.59914,1.21999,0.70576,1.07754,0.0085645,0.0085645,0.0085645
31,8604.82,1.45336,1.01947,1.14073,0.88072,0.87484,0.91584,0.60409,1.21053,0.68918,1.0737,0.008515,0.008515,0.008515
32,8773.13,1.42537,0.98149,1.13089,0.89004,0.87492,0.92001,0.61444,1.17952,0.66982,1.06294,0.0084655,0.0084655,0.0084655
33,8946.45,1.43124,0.9943,1.12232,0.8893,0.87823,0.92102,0.61361,1.1758,0.67185,1.06167,0.008416,0.008416,0.008416
34,9115.72,1.4229,0.97558,1.133,0.88632,0.88149,0.91793,0.61424,1.16804,0.6795,1.0587,0.0083665,0.0083665,0.0083665
