                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0157,                 3.9236,                 2.9039,                0.34221,                0.30549,                 0.2315,                0.09039,                  2.422,                 2.3219,                 1.9484,              0.0033294,              0.0033294,              0.0033294
                      2,                 2.1042,                  1.831,                  1.516,                0.49753,                0.44547,                0.42668,                 0.1904,                 1.9944,                  1.837,                 1.5342,              0.0065968,              0.0065968,              0.0065968
                      3,                 1.9213,                  1.606,                 1.3929,                 0.5708,                0.49702,                0.51749,                0.22326,                  1.847,                 1.6553,                 1.3907,              0.0097982,              0.0097982,              0.0097982
                      4,                 1.8426,                 1.4781,                 1.3368,                0.56934,                0.56731,                0.57119,                0.26374,                 1.8198,                 1.5286,                 1.3692,               0.009703,               0.009703,               0.009703
                      5,                 1.7602,                 1.3272,                 1.2925,                0.62432,                0.59171,                0.61257,                0.29821,                 1.7699,                 1.3738,                 1.3372,               0.009604,               0.009604,               0.009604
                      6,                  1.696,                 1.2451,                 1.2649,                0.60626,                0.53232,                0.56254,                0.27539,                 1.7776,                 1.4597,                 1.3349,               0.009505,               0.009505,               0.009505
                      7,                 1.6661,                 1.1707,                 1.2399,                 0.6043,                0.57327,                0.58841,                0.29876,                 1.7321,                 1.3726,                 1.3117,               0.009406,               0.009406,               0.009406
                      8,                 1.6051,                 1.0851,                  1.219,                0.61976,                0.60348,                0.60617,                0.28794,                  1.835,                 1.4576,                 1.3522,               0.009307,               0.009307,               0.009307
                      9,                 1.5614,                 1.0464,                 1.2009,                0.69942,                0.68264,                0.71106,                0.35438,                 1.7269,                 1.2473,                 1.3072,               0.009208,               0.009208,               0.009208
                     10,                 1.5283,                0.98298,                 1.1931,                0.79316,                0.75584,                0.81553,                 0.4639,                 1.4897,                0.96087,                 1.2043,               0.009109,               0.009109,               0.009109
                     11,                 1.4912,                0.94467,                 1.1679,                0.78139,                0.75063,                0.80723,                0.44971,                 1.5468,                0.98381,                 1.2272,                0.00901,                0.00901,                0.00901
                     12,                 1.4674,                0.91083,                 1.1581,                0.78159,                0.75989,                0.81626,                0.47339,                 1.4615,                 1.0173,                 1.1914,               0.008911,               0.008911,               0.008911
                     13,                 1.4374,                0.88311,                 1.1427,                0.77052,                0.73828,                0.79518,                0.44407,                 1.5621,                 1.0461,                 1.2445,               0.008812,               0.008812,               0.008812
                     14,                 1.3842,                0.84868,                 1.1259,                 0.7958,                0.78535,                0.83884,                0.49064,                 1.4314,                0.94605,                  1.177,               0.008713,               0.008713,               0.008713
                     15,                 1.3537,                0.81062,                 1.1234,                0.81885,                0.77713,                0.83924,                0.49682,                 1.4299,                0.86689,                 1.1781,               0.008614,               0.008614,               0.008614
                     16,                 1.3413,                 0.7971,                 1.1044,                0.78078,                0.77747,                0.81631,                0.45475,                 1.5222,                0.93615,                 1.2143,               0.008515,               0.008515,               0.008515
                     17,                 1.3042,                0.78818,                 1.1096,                0.83653,                0.81055,                0.87428,                0.53412,                 1.3493,                0.80005,                 1.1428,               0.008416,               0.008416,               0.008416
                     18,                 1.3036,                0.76286,                 1.1005,                0.84507,                0.83019,                0.88559,                0.54849,                 1.3256,                0.77715,                 1.1291,               0.008317,               0.008317,               0.008317
                     19,                 1.2874,                0.75551,                 1.1021,                 0.8423,                0.84624,                0.89187,                0.55904,                 1.2935,                0.76077,                  1.117,               0.008218,               0.008218,               0.008218
                     20,                 1.2627,                0.73626,                 1.0805,                0.85022,                0.84271,                0.89182,                0.55565,                 1.3195,                0.76228,                  1.136,               0.008119,               0.008119,               0.008119
                     21,                 1.2366,                 0.7181,                  1.068,                 0.8296,                0.82988,                0.86932,                0.52897,                 1.3809,                0.80749,                 1.1629,                0.00802,                0.00802,                0.00802
                     22,                 1.2365,                0.71047,                 1.0695,                0.84846,                0.83952,                0.88468,                0.54643,                 1.3161,                0.77696,                  1.129,               0.007921,               0.007921,               0.007921
                     23,                  1.219,                0.69745,                  1.059,                 0.8498,                0.85699,                0.89791,                0.56969,                 1.2515,                0.73448,                 1.1006,               0.007822,               0.007822,               0.007822
                     24,                 1.1846,                  0.681,                 1.0494,                0.86268,                0.86114,                0.90749,                0.58129,                 1.2473,                0.71521,                 1.0947,               0.007723,               0.007723,               0.007723
                     25,                 1.1936,                0.67424,                 1.0574,                0.86358,                0.84965,                0.90025,                0.56548,                 1.2948,                0.72367,                 1.1207,               0.007624,               0.007624,               0.007624
                     26,                 1.1753,                0.66755,                 1.0468,                0.88061,                0.87758,                0.91555,                0.59835,                 1.1998,                0.67277,                 1.0826,               0.007525,               0.007525,               0.007525
                     27,                 1.1536,                0.65889,                 1.0425,                0.88106,                0.87284,                0.91599,                0.58962,                 1.2339,                 0.6779,                 1.0902,               0.007426,               0.007426,               0.007426
                     28,                 1.1515,                0.65284,                 1.0382,                0.89489,                0.89127,                0.92892,                 0.6175,                 1.1545,                0.62552,                 1.0587,               0.007327,               0.007327,               0.007327
                     29,                 1.1286,                0.63604,                 1.0282,                0.88116,                0.87643,                0.91659,                 0.5908,                 1.2303,                0.67505,                 1.0901,               0.007228,               0.007228,               0.007228
                     30,                 1.1294,                0.63335,                 1.0276,                0.87852,                0.86919,                0.91269,                0.58879,                 1.2375,                0.69265,                 1.0942,               0.007129,               0.007129,               0.007129
                     31,                 1.1005,                 0.6183,                 1.0176,                0.86827,                0.88764,                0.92055,                0.60696,                 1.1853,                0.66225,                 1.0696,                0.00703,                0.00703,                0.00703
                     32,                  1.093,                0.61151,                 1.0071,                0.88562,                0.89278,                0.92473,                0.61301,                 1.1709,                0.63201,                 1.0662,               0.006931,               0.006931,               0.006931
                     33,                 1.0905,                0.60579,                 1.0114,                 0.8906,                0.89342,                0.93024,                0.61999,                 1.1691,                0.62985,                 1.0645,               0.006832,               0.006832,               0.006832
                     34,                  1.098,                0.62197,                 1.0174,                0.89645,                0.89625,                 0.9298,                0.61907,                 1.1606,                0.61521,                 1.0591,               0.006733,               0.006733,               0.006733
                     35,                 1.0845,                0.60253,                 1.0125,                0.88981,                0.89915,                0.93043,                0.61902,                 1.1512,                0.61638,                  1.054,               0.006634,               0.006634,               0.006634
                     36,                 1.0655,                0.60383,                 1.0125,                0.89576,                0.89725,                0.93551,                 0.6339,                  1.119,                 0.5983,                 1.0457,               0.006535,               0.006535,               0.006535
                     37,                 1.0566,                0.58679,                 1.0006,                0.89253,                0.89456,                0.92883,                0.62078,                  1.156,                0.62219,                 1.0573,               0.006436,               0.006436,               0.006436
                     38,                 1.0531,                0.57832,                 1.0007,                 0.9013,                0.90331,                0.93597,                0.62762,                 1.1524,                0.60293,                 1.0583,               0.006337,               0.006337,               0.006337
                     39,                 1.0457,                0.58113,                0.99481,                0.90039,                0.91134,                0.93764,                0.64083,                 1.1055,                0.58732,                   1.04,               0.006238,               0.006238,               0.006238
                     40,                 1.0315,                0.57345,                0.99352,                0.90468,                0.91044,                0.93908,                0.63918,                 1.1281,                0.58248,                 1.0533,               0.006139,               0.006139,               0.006139
                     41,                 1.0379,                0.57488,                 1.0038,                0.90762,                0.90822,                0.93832,                0.63922,                 1.1169,                0.57174,                 1.0465,                0.00604,                0.00604,                0.00604
                     42,                 1.0411,                0.57575,                 0.9959,                0.90256,                0.91587,                0.94114,                0.64996,                 1.0955,                0.56368,                 1.0372,               0.005941,               0.005941,               0.005941
                     43,                 1.0222,                0.56725,                0.99214,                0.91049,                0.90566,                0.93892,                0.64351,                 1.1105,                0.57047,                 1.0458,               0.005842,               0.005842,               0.005842
                     44,                 1.0124,                  0.558,                0.99385,                0.91336,                0.91381,                0.94455,                0.65369,                 1.0798,                 0.5543,                  1.031,               0.005743,               0.005743,               0.005743
                     45,                0.99163,                0.54548,                0.97178,                0.90989,                 0.9149,                0.94629,                0.65756,                 1.0713,                0.55029,                 1.0295,               0.005644,               0.005644,               0.005644
