                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.8232,                 4.4145,                 3.5577,                0.24223,                0.32627,                0.23073,                0.09426,                 2.4439,                 2.1736,                 1.9658,              0.0033294,              0.0033294,              0.0033294
                      2,                  2.166,                 1.8951,                 1.5781,                0.52052,                0.44317,                0.44242,                0.19536,                 1.9365,                 1.6814,                  1.484,              0.0066188,              0.0066188,              0.0066188
                      3,                 1.9712,                 1.6017,                 1.4021,                0.56315,                 0.5432,                0.54531,                0.25236,                 1.8129,                 1.5566,                 1.3817,              0.0098642,              0.0098642,              0.0098642
                      4,                 1.8664,                 1.4358,                  1.325,                0.57622,                0.59211,                0.59246,                0.27355,                 1.8129,                 1.5465,                 1.3619,               0.009802,               0.009802,               0.009802
                      5,                 1.7749,                  1.315,                 1.2996,                0.61512,                0.64709,                 0.6578,                0.32917,                 1.7023,                 1.3801,                  1.308,               0.009736,               0.009736,               0.009736
                      6,                 1.7271,                 1.2149,                 1.2634,                 0.6162,                0.64266,                0.63505,                0.31354,                 1.7128,                 1.5139,                 1.3082,                0.00967,                0.00967,                0.00967
                      7,                 1.6573,                  1.111,                 1.2322,                0.71425,                0.72246,                 0.7626,                 0.4123,                 1.5791,                 1.1434,                 1.2483,               0.009604,               0.009604,               0.009604
                      8,                 1.6161,                 1.0512,                  1.213,                0.73806,                 0.7239,                0.76555,                0.41837,                 1.5743,                 1.0411,                 1.2443,               0.009538,               0.009538,               0.009538
                      9,                 1.5565,                0.98407,                 1.1899,                 0.7652,                0.76041,                0.80546,                0.45655,                  1.504,                0.97428,                 1.2111,               0.009472,               0.009472,               0.009472
                     10,                 1.5146,                0.93281,                 1.1726,                0.74828,                0.75279,                 0.7914,                0.44513,                 1.5293,                 1.0111,                 1.2198,               0.009406,               0.009406,               0.009406
                     11,                 1.4798,                0.89042,                 1.1573,                0.75265,                0.75323,                0.79667,                0.44888,                 1.5232,                 1.0149,                 1.2193,                0.00934,                0.00934,                0.00934
                     12,                 1.4529,                0.85244,                 1.1458,                0.79286,                0.78287,                0.83469,                0.48753,                 1.4395,                0.89982,                 1.1837,               0.009274,               0.009274,               0.009274
                     13,                 1.4103,                0.81513,                  1.124,                0.83236,                0.80969,                 0.8629,                0.51996,                 1.3911,                0.78225,                 1.1612,               0.009208,               0.009208,               0.009208
                     14,                 1.3862,                0.78742,                 1.1178,                0.81037,                0.81034,                0.85871,                0.51631,                  1.384,                0.80329,                 1.1532,               0.009142,               0.009142,               0.009142
                     15,                 1.3499,                0.76026,                 1.1059,                0.83788,                0.82171,                0.87457,                0.53754,                 1.3417,                0.78672,                 1.1406,               0.009076,               0.009076,               0.009076
                     16,                 1.3212,                0.74056,                 1.0927,                 0.8516,                0.84665,                 0.8936,                0.56301,                 1.2913,                0.71841,                 1.1157,                0.00901,                0.00901,                0.00901
                     17,                 1.2998,                0.71833,                  1.084,                0.85587,                0.86033,                0.89511,                0.57047,                 1.2846,                0.68701,                 1.1154,               0.008944,               0.008944,               0.008944
                     18,                 1.2845,                0.70879,                 1.0815,                0.87055,                0.84937,                0.89826,                0.56369,                 1.2966,                0.69129,                 1.1161,               0.008878,               0.008878,               0.008878
                     19,                 1.2543,                0.68246,                  1.072,                0.85608,                  0.848,                0.89572,                0.56579,                 1.2975,                0.69418,                 1.1153,               0.008812,               0.008812,               0.008812
                     20,                 1.2438,                0.66819,                 1.0594,                 0.8582,                0.85866,                0.90112,                0.57812,                 1.2639,                0.66698,                 1.1002,               0.008746,               0.008746,               0.008746
